# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_racemosa_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_racemosa_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_racemosa_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_racemosa_v2.Aligned.sortedByCoord.out.bam
CRAC_000038-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	78351;78528;78848;78967;79144;79376;79565;79684;79833	78481;78807;78923;79098;79326;79515;79641;79786;79936	-;-;-;-;-;-;-;-;-	1226	0
CRAC_000039-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	80010;80321;80851;81038;81213	80272;80807;80991;81172;81287	-;-;-;-;-	1101	0
CRAC_000040-T1	scaffold_1;scaffold_1	81301;81708	81665;82761	-;-	1419	0
CRAC_000041-T1	scaffold_1;scaffold_1	82808;83020	82979;83168	-;-	321	0
CRAC_000042-T1	scaffold_1	83608	84600	-	993	0
CRAC_000043-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	84840;84951;85053;85180;85348;85564	84901;85007;85136;85299;85503;85612	-;-;-;-;-;-	528	0
CRAC_000044-T1	scaffold_1;scaffold_1	86118;86376	86334;87301	-;-	1143	0
CRAC_000045-T1	scaffold_1;scaffold_1	87565;88425	88381;88959	-;-	1352	0
CRAC_000046-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	89491;89661;89788;89971;90081	89625;89744;89925;90043;90226	+;+;+;+;+	576	0
CRAC_000047-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	90419;90631;90829;90996	90583;90788;90952;91565	-;-;-;-	1017	0
CRAC_000048-T1	scaffold_1	91628	92393	+	766	0
CRAC_000049-T1	scaffold_1;scaffold_1;scaffold_1	92394;95151;95376	95107;95333;95560	-;-;-	3082	2
CRAC_000050-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	95567;95931;96069;96181;96358;96548	95886;96024;96134;96309;96485;96747	-;-;-;-;-;-	937	0
CRAC_000051-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	96988;97174;97268;97375;97680;97995;98174	97117;97221;97326;97636;97930;98106;98328	+;+;+;+;+;+;+	1017	0
CRAC_000052-T1	scaffold_1;scaffold_1	98576;99189	99113;101004	+;+	2354	0
CRAC_000052-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1	98576;98823;99189;99690	98778;99113;99642;100685	+;+;+;+	1944	0
CRAC_000053-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	100221;100517;100730;100958	100448;100685;100906;101028	-;-;-;-	645	0
CRAC_000054-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	101066;101234;101308;101462	101182;101262;101420;101844	+;+;+;+	642	0
CRAC_000055-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	102699;102861;102935;103089	102810;102889;103047;103777	+;+;+;+	943	0
CRAC_000057-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	103787;104880;105050;105219;105371;105574;105714;105939;106215;106440;106624;106789;106982;107194;107388;107516;107702;107805;107929	104826;105004;105177;105311;105531;105667;105878;106167;106397;106580;106746;106937;107152;107333;107470;107655;107760;107880;107987	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3359	648
CRAC_000056-T1	scaffold_1	103802	104599	+	798	0
CRAC_000058-T1	scaffold_1;scaffold_1	108015;108259	108217;108745	+;+	690	0
CRAC_000059-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	108758;108983;109584;109773;110000;110216;110478;110651;111005;111353;111592;112014	108910;109538;109719;109952;110167;110432;110609;110964;111306;111546;111957;112259	+;+;+;+;+;+;+;+;+;+;+;+	2964	2
CRAC_000060-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	112199;112631;112897;113117;113229;113383;113877	112582;112854;113076;113182;113336;113834;114195	-;-;-;-;-;-;-	1733	0
CRAC_000061-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	114277;114572;115337;115529;115777;115891;119163;119283;119401;119491;119701	114524;115283;115480;115729;115839;119124;119240;119354;119446;119656;119755	-;-;-;-;-;-;-;-;-;-;-	5019	2
CRAC_000062-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	120012;120154;120510;120754	120105;120469;120695;120994	-;-;-;-	837	0
CRAC_000063-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	121218;121457;121703;121995;122256;122350;122480	121414;121625;121953;122210;122305;122438;122545	-;-;-;-;-;-;-	1038	0
CRAC_000064-T1	scaffold_1;scaffold_1;scaffold_1	123066;123504;123736	123455;123695;124422	+;+;+	1269	0
CRAC_000065-T1	scaffold_1;scaffold_1;scaffold_1	124654;124900;125137	124852;125000;125493	+;+;+	657	0
CRAC_000066-T1	scaffold_1;scaffold_1	125699;125770	125722;126441	+;+	696	0
CRAC_000067-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	126850;127020;127138;127263;127403;127513;127690	126977;127090;127219;127352;127465;127644;127861	-;-;-;-;-;-;-	738	0
CRAC_000068-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	127869;128143;128331;128478;128556	128095;128284;128436;128514;128624	-;-;-;-;-	581	0
CRAC_000069-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	128773;128861;128996;129221	128820;128951;129174;130378	+;+;+;+	1476	0
CRAC_000070-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	130445;130567;130658;130771;130906;131079	130522;130616;130722;130861;131036;131263	+;+;+;+;+;+	600	0
CRAC_000071-T1	scaffold_1;scaffold_1	131432;131879	131833;132196	+;+	720	0
CRAC_000072-T1	scaffold_1;scaffold_1;scaffold_1	132365;133502;134409	133457;134367;135379	+;+;+	2930	0
CRAC_000072-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1	132365;133502;134409;134559	133457;134367;134518;135379	+;+;+;+	2890	0
CRAC_000073-T1	scaffold_1;scaffold_1	134669;134892	134847;135321	-;-	609	0
CRAC_000074-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	135407;135841;135975;136113;136252	135799;135931;136063;136203;136407	-;-;-;-;-	820	0
CRAC_000075-T1	scaffold_1	139427	139774	+	348	0
CRAC_000076-T1	scaffold_1;scaffold_1	140038;140167	140124;140649	+;+	570	0
CRAC_000077-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	140916;141151;141472;143720;143861;143998;144835	141104;141426;143663;143816;143941;144767;144892	-;-;-;-;-;-;-	3663	0
CRAC_000078-T1	scaffold_1;scaffold_1	145027;145362	145314;147017	-;-	1944	0
CRAC_000079-T1	scaffold_1;scaffold_1	146840;146968	146917;147408	+;+	519	0
CRAC_000080-T1	scaffold_1;scaffold_1;scaffold_1	147924;148131;148500	148088;148459;148755	+;+;+	750	0
CRAC_000081-T1	scaffold_1;scaffold_1	148131;150592	150550;150710	-;-	2539	0
CRAC_000082-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	150731;150947;151093;151262	150879;151048;151216;151549	+;+;+;+	663	0
CRAC_000083-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	151549;151790;152225;152360;152529;152757	151738;152177;152319;152482;152716;152930	-;-;-;-;-;-	1158	0
CRAC_000084-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	152959;153200;153297;154120	153150;153247;154082;154161	+;+;+;+	1068	0
CRAC_000085-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	154283;154985;155194;155652;155895;156149;156302;156546;156745;156984;157176	154885;155152;155514;155852;156107;156256;156505;156704;156943;157125;157282	-;-;-;-;-;-;-;-;-;-;-	2425	0
CRAC_000086-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	157334;157636;157795;158465;158640	157590;157750;158417;158598;158802	-;-;-;-;-	1292	0
CRAC_000086-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1	157334;157636;157795;158640	157590;157750;158598;158802	-;-;-;-	1339	0
CRAC_000087-T1	scaffold_1;scaffold_1	159004;160922	160878;160987	-;-	1941	0
CRAC_000088-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	161102;161380;161553;161809;162001;162794;163311	161315;161474;161759;161956;162743;163259;164914	+;+;+;+;+;+;+	3477	0
CRAC_000089-T1	scaffold_1;scaffold_1;scaffold_1	165114;165448;165739	165403;165690;166304	-;-;-	1099	0
CRAC_000090-T1	scaffold_1;scaffold_1	166367;166693	166648;166806	+;+	396	0
CRAC_000091-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	166844;167448;167739;168110;168321;168658;169132;169290;169468;169748;169911;170296;171330;171515;171657;171900;172152;172317;172763;173024	167404;167685;168065;168270;168616;169085;169236;169420;169695;169863;170254;171283;171475;171614;171847;172111;172271;172716;172983;173392	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5682	4
CRAC_000092-T1	scaffold_1;scaffold_1	173467;173855	173816;173870	-;-	366	0
CRAC_000093-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	174062;174609;175031;175200;175630	174562;174985;175152;175297;175894	-;-;-;-;-	1363	0
CRAC_000094-T1	scaffold_1	176091	177661	+	1571	0
CRAC_000095-T1	scaffold_1	177834	179926	+	2093	0
CRAC_000096-T1	scaffold_1;scaffold_1	180096;181557	181504;182144	+;+	1997	902
CRAC_000097-T1	scaffold_1;scaffold_1;scaffold_1	182402;182449;182609	182405;182567;182716	+;+;+	231	2
CRAC_000098-T1	scaffold_1	183175	183894	+	720	0
CRAC_000099-T1	scaffold_1;scaffold_1	184342;185410	185364;186594	-;-	2208	0
CRAC_000100-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	186752;187130;187274;187483;187579;187971	187087;187229;187440;187534;187927;188091	-;-;-;-;-;-	1125	0
CRAC_000101-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	188264;188373;188474;188640;188732;189006;189197;189441	188329;188431;188595;188685;188963;189152;189394;189476	+;+;+;+;+;+;+;+	906	0
CRAC_000102-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	189503;189875;190177;190394	189832;190132;190331;190409	-;-;-;-	759	2
CRAC_000103-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	190748;191074;191235;191395;191672;191914	191033;191185;191353;191626;191871;192023	+;+;+;+;+;+	1059	4
CRAC_000104-T1	scaffold_1;scaffold_1	192112;194644	194601;194999	-;-	2846	0
CRAC_000105-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	195152;195649;195754;195927;196117;196569;196840;196974;197239	195606;195709;195882;196073;196519;196793;196925;197091;198146	+;+;+;+;+;+;+;+;+	2532	0
CRAC_000106-T1	scaffold_1;scaffold_1	198382;199298	199254;199681	-;-	1257	0
CRAC_000107-T1	scaffold_1;scaffold_1;scaffold_1	200172;200597;200701	200547;200658;200763	-;-;-	501	0
CRAC_000108-T1	scaffold_1	200945	202020	-	1076	0
CRAC_000109-T1	scaffold_1;scaffold_1	202040;202335	202266;202550	-;-	443	0
CRAC_000110-T1	scaffold_1;scaffold_1;scaffold_1	202644;202748;203287	202703;203242;204036	+;+;+	1305	0
CRAC_000111-T1	scaffold_1;scaffold_1;scaffold_1	204394;205087;205215	205045;205175;205328	-;-;-	855	0
CRAC_000112-T1	scaffold_1	205709	206071	-	363	0
CRAC_000113-T1	scaffold_1	206130	213502	-	7373	0
CRAC_000114-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	213484;213671;213997;214475;215967;216229;216445	213622;213951;214428;215922;216185;216398;217116	+;+;+;+;+;+;+	3361	0
CRAC_000115-T1	scaffold_1;scaffold_1	217151;217452	217410;219018	+;+	1827	0
CRAC_000116-T1	scaffold_1;scaffold_1	217990;218363	218319;218998	-;-	966	0
CRAC_000117-T1	scaffold_1	219171	219803	-	633	0
CRAC_000118-T1	scaffold_1;scaffold_1;scaffold_1	220612;221311;221918	221257;221875;222257	-;-;-	1551	0
CRAC_000119-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	222473;222679;222825;222967;223260;224046;224294;224587;224737	222627;222783;222921;223121;224002;224250;224533;224691;225171	+;+;+;+;+;+;+;+;+	2240	0
CRAC_000120-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	225186;225404;225598;226022;226307;226530;226770;226861;226992;227083	225359;225554;225977;226257;226486;226724;226812;226950;227025;227153	-;-;-;-;-;-;-;-;-;-	1554	0
CRAC_000120-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	225186;225404;225598;226022;226307;226530;226861;226992	225359;225554;225977;226257;226486;226812;226950;227025	-;-;-;-;-;-;-;-	1528	0
CRAC_000121-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	227247;227450;228208;228529	227411;228169;228482;229060	+;+;+;+	1692	0
CRAC_000122-T1	scaffold_1;scaffold_1	229390;229771	229740;229830	+;+	411	0
CRAC_000123-T1	scaffold_1;scaffold_1;scaffold_1	230193;230580;230724	230526;230686;231260	+;+;+	978	0
CRAC_000124-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	232982;233378;233508;233824	233334;233463;233773;233934	-;-;-;-	816	0
CRAC_000125-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	234040;234354;234468;234698;234925;235223	234311;234421;234650;234885;235182;235738	+;+;+;+;+;+	1485	0
CRAC_000126-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	235784;236016;237000;239111;239337	235966;236947;239065;239296;239746	+;+;+;+;+	3777	0
CRAC_000127-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	240622;241076;242055;244359	241027;242007;244308;244701	+;+;+;+	3935	0
CRAC_000127-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	240622;241076;242055;244153;244359	241027;242007;244105;244308;244701	+;+;+;+;+	3888	0
CRAC_000128-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	245053;245394;246374;248475;248684	245346;246325;248427;248630;249015	+;+;+;+;+	3768	20
CRAC_000129-T1	scaffold_1;scaffold_1	249405;251007	250964;251198	-;-	1752	0
CRAC_000130-T1	scaffold_1	251347	252635	+	1289	0
CRAC_000131-T1	scaffold_1	252638	252992	+	355	0
CRAC_000132-T1	scaffold_1	253460	254551	-	1092	0
CRAC_000133-T1	scaffold_1	255185	256854	-	1670	0
CRAC_000134-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	257242;257371;258130;259203;259328;259477;259585;259877;260102;260419;260787;261113;261465;261830;262295;262590;262807;263172;263403;263736;263882;263998;264285;264541;264715;264836;265026;265230;265390;265534;265705;265938;266325;266497	257302;258084;259145;259262;259429;259536;259833;260047;260371;260739;261065;261415;261779;262234;262546;262760;263121;263351;263687;263834;263953;264240;264491;264651;264792;264968;265180;265337;265478;265660;265893;266273;266450;266811	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7917	10
CRAC_000135-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	267142;267304;267438;267877;268035;268182;268622;268781;268929;269675	267254;267393;267833;267975;268133;268577;268720;268879;269627;270580	+;+;+;+;+;+;+;+;+;+	2996	2
CRAC_000136-T1	scaffold_1;scaffold_1;scaffold_1	270842;270951;271089	270904;271043;271238	+;+;+	306	0
CRAC_000137-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	271418;271527;271688;271835;272277;272438;272585;273027;273187;273334;273775;273935;274081;274522;274679;274825;274957	271483;271625;271786;272233;272375;272536;272983;273125;273285;273732;273873;274033;274479;274620;274777;274908;275289	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3069	0
CRAC_000138-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	275534;275639;275880;276051;276278;276472;276659;276858	275587;275836;276004;276237;276430;276615;276811;277373	+;+;+;+;+;+;+;+	1530	2
CRAC_000139-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	277615;277782;277905;278125;278243;278361;278506	277734;277861;278080;278195;278320;278462;278592	-;-;-;-;-;-;-	714	0
CRAC_000140-T1	scaffold_1;scaffold_1	278662;279059	279017;279659	+;+	957	0
CRAC_000141-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	279727;280844;280953;281128;281284;282321	280797;280912;281070;281241;282272;282680	-;-;-;-;-;-	2721	0
