# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "Caulerpa_lentillifera_v2.gtf" "-G" "/bigdata/stajichlab/shared/projects/Caulerpa/annotation/filtered_annotate/v2/v2/Caulerpa_lentillifera_v2.scaffolds.fa" "-T" "16" "-o" "results/STAR/Caulerpa_lentillifera_v2.featureCounts.tsv" "-g" "gene_id" "-J" "-F" "GTF" "results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR/Caulerpa_lentillifera_v2.Aligned.sortedByCoord.out.bam
CLENT_000047-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	95121;95585;96044;96142;96270;96594;96766;97026;97230	95542;95992;96095;96225;96553;96715;96983;97180;97510	+;+;+;+;+;+;+;+;+	2026	0
CLENT_000047-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	95121;95414;95585;96044;96142;96270;96594;96766;97026;97230	95359;95542;95992;96095;96225;96553;96715;96983;97180;97510	+;+;+;+;+;+;+;+;+;+	1972	0
CLENT_000047-T3	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	95121;95285;95414;95585;96044;96142;96270;96594;96766;97026	95240;95359;95542;95992;96095;96225;96553;96715;96983;97188	+;+;+;+;+;+;+;+;+;+	1655	0
CLENT_000048-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	97226;97520;97707;98056;98226;98351;98458;98629;98780;99052;99185;99417;99688;99885;100394;100617;101095;101412;101616;101805;102166;102754;102935;103112	97474;97654;98011;98167;98296;98408;98582;98737;98998;99134;99368;99638;99840;100351;100548;101047;101358;101564;101747;102122;102702;102891;103061;103209	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4845	31
CLENT_000049-T1	scaffold_1;scaffold_1;scaffold_1	104314;104528;104732	104317;104678;106358	+;+;+	1782	18540
CLENT_000050-T1	scaffold_1;scaffold_1;scaffold_1	107399;108394;108730	108334;108679;108935	+;+;+	1428	3541
CLENT_000051-T1	scaffold_1	109484	110530	+	1047	10541
CLENT_000052-T1	scaffold_1;scaffold_1	110733;111101	111056;113023	+;+	2247	72
CLENT_000053-T1	scaffold_1;scaffold_1	111873;112367	112342;112895	-;-	999	0
CLENT_000054-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	114213;114333;114543;114673;114814	114280;114495;114621;114770;114912	-;-;-;-;-	507	4071
CLENT_000055-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	115637;115988;116334;116602;116864;117104	115946;116294;116554;116807;117052;117409	+;+;+;+;+;+	1539	5320
CLENT_000056-T1	scaffold_1;scaffold_1	117543;118099	118037;120423	-;-	2820	2468
CLENT_000057-T1	scaffold_1;scaffold_1	118396;118685	118639;120279	+;+	1839	0
CLENT_000058-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	120311;120531;120801;121051;121183;121298;121538;121673;121810;122132;122446;122702;122924;123100	120490;120754;121002;121137;121254;121490;121627;121764;122079;122402;122657;122872;123047;123245	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2334	431
CLENT_000059-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	123276;123579;123665;123792;124250;124534;124638;124818;124936;125250	123532;123603;123726;124209;124469;124594;124769;124894;125205;125693	+;+;+;+;+;+;+;+;+;+	1966	1698
CLENT_000060-T1	scaffold_1;scaffold_1;scaffold_1	125754;126244;126525	126195;126477;126682	-;-;-	834	9122
CLENT_000061-T1	scaffold_1;scaffold_1	126894;127027	126981;127547	+;+	609	14533
CLENT_000062-T1	scaffold_1;scaffold_1	128362;129030	128985;129779	+;+	1374	1409
CLENT_000063-T1	scaffold_1	130106	130525	-	420	2366
CLENT_000064-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	131850;132184;132292;132488	132130;132250;132438;132592	-;-;-;-	600	6201
CLENT_000065-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	132745;133296;133634;133803;133973;134114	133251;133568;133745;133927;134063;134238	-;-;-;-;-;-	1233	291
CLENT_000066-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	134350;134875;135238;135461	134833;135185;135413;135684	+;+;+;+	1195	3859
CLENT_000067-T1	scaffold_1;scaffold_1	135893;137322	137282;137608	+;+	1677	5420
CLENT_000068-T1	scaffold_1;scaffold_1	140213;140871	140819;141091	-;-	828	14721
CLENT_000069-T1	scaffold_1;scaffold_1	141852;142505	142431;142716	-;-	792	4366
CLENT_000070-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	142925;143264;143491;143907	143211;143450;143864;144777	+;+;+;+	1719	2206
CLENT_000071-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	144962;145198;146072;146379	145148;146013;146329;146553	-;-;-;-	1436	22896
CLENT_000072-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	146709;147048;148135;148967;149302;149749;149855;150011;150145	146998;147261;148922;149258;149697;149812;149949;150103;150213	-;-;-;-;-;-;-;-;-	2301	24332
CLENT_000073-T1	scaffold_1;scaffold_1;scaffold_1	151279;151427;151674	151374;151629;151848	-;-;-	474	1248
CLENT_000074-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	152028;152378;152548;152777	152330;152498;152688;152859	-;-;-;-	648	2
CLENT_000075-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	153494;153695;154061;154498;154968	153595;154017;154454;154923;155153	+;+;+;+;+	1431	0
CLENT_000076-T1	scaffold_1	155250	156201	+	952	13556
CLENT_000077-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	156202;156376;156526;156908	156337;156477;156862;157229	+;+;+;+	897	1056
CLENT_000078-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	157226;157601;157751;157853	157548;157706;157809;158394	+;+;+;+	1030	2671
CLENT_000079-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	158186;158400;158555;158684;158893;159053;159190;159391;159595;159781;160233;160330;160700;160860;161025;161407;161790	158350;158507;158632;158854;159006;159125;159340;159552;159734;160174;160281;160652;160816;160980;161318;161721;162035	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3021	170
CLENT_000080-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	162327;162828;162969;163176	162664;162924;163125;163219	-;-;-;-	636	0
CLENT_000080-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1	162327;162537;162828;162969	162489;162664;162924;163219	-;-;-;-	639	0
CLENT_000081-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	163271;163519;163681;163800;163959;164127	163472;163631;163749;163904;164077;164202	+;+;+;+;+;+	684	69
CLENT_000082-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	163958;165072;166412;166948;167712;167838;167993;168124	165024;166365;166904;167666;167773;167945;168077;168413	-;-;-;-;-;-;-;-	4118	0
CLENT_000082-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	164284;165072;166412;166948;167712;167838;167993;168124;168225	165024;166365;166904;167666;167773;167945;168077;168179;168413	-;-;-;-;-;-;-;-;-	3747	0
CLENT_000083-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	168403;170144;170607;170810;171062	170079;170550;170757;170954;171390	-;-;-;-;-	2709	67475
CLENT_000084-T1	scaffold_1;scaffold_1	171416;174008	173970;174320	-;-	2868	286806
CLENT_000085-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	175375;175443;175628;175998;176147	175395;175581;175954;176100;176225	-;-;-;-;-	669	1741
CLENT_000086-T1	scaffold_1;scaffold_1;scaffold_1	176990;177149;177538	176992;177494;177701	-;-;-	513	6614
CLENT_000087-T1	scaffold_1;scaffold_1	177767;177928	177882;182842	+;+	5031	4632
CLENT_000088-T1	scaffold_1;scaffold_1	179438;181257	181214;182984	-;-	3505	0
CLENT_000089-T1	scaffold_1;scaffold_1	182915;184215	184175;184707	+;+	1754	1654
CLENT_000090-T1	scaffold_1;scaffold_1;scaffold_1	184708;185053;185423	185007;185371;186338	+;+;+	1535	768
CLENT_000091-T1	scaffold_1	185642	186305	-	664	0
CLENT_000092-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	186362;186988;187079;187183	186946;187036;187138;187268	-;-;-;-	780	8459
CLENT_000093-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	187315;187811;188479;189873;190231	187768;188209;189744;190040;191261	+;+;+;+;+	3318	101
CLENT_000093-T2	scaffold_1;scaffold_1;scaffold_1	187770;189873;190231	189744;190040;191261	+;+;+	3174	10
CLENT_000094-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	191670;191927;192190;192346;192524;192677	191876;192127;192282;192477;192625;193783	+;+;+;+;+;+	1842	7284
CLENT_000095-T1	scaffold_1	194027	194986	+	960	10658
CLENT_000096-T1	scaffold_1;scaffold_1;scaffold_1	195375;195723;195963	195677;195903;196582	+;+;+	1104	5036
CLENT_000097-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	196601;196708;196942;197148;197349;197649;198327;198489;198743;198924;199189	196663;196905;197101;197309;197607;198273;198448;198686;198879;199131;199384	+;+;+;+;+;+;+;+;+;+;+	2328	1089
CLENT_000098-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	199600;199806;199930;200133;200245;200442	199758;199885;200084;200205;200398;200666	+;+;+;+;+;+	846	15
CLENT_000099-T1	scaffold_1	200471	204055	-	3585	1617
CLENT_000100-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	204170;204409;204536;204692;204848;204946;205183;205873	204352;204490;204641;204804;204899;205138;205752;206028	+;+;+;+;+;+;+;+	1455	1320
CLENT_000101-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	205754;206460;206548;206873;207031;207224;207726	206416;206506;206821;206986;207168;207682;207889	-;-;-;-;-;-;-	1859	4521
CLENT_000102-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	207933;208029;208244;208390;208567;208785;209020	207981;208192;208348;208521;208737;208971;209063	-;-;-;-;-;-;-	852	476
CLENT_000103-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	209405;209757;209917;210081;210236;210481;210607;210916;211200;211503;212496	209704;209860;210031;210194;210436;210563;210872;211148;211463;212434;212679	+;+;+;+;+;+;+;+;+;+;+	2796	12
CLENT_000104-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	212956;213096;213261;213630;214371;214648;215091	213043;213217;213585;214324;214595;215043;215297	+;+;+;+;+;+;+	2058	0
CLENT_000104-T2	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	212956;213096;213261;213420;213630;214371;214648;215091	213043;213217;213375;213585;214324;214595;215043;215297	+;+;+;+;+;+;+;+	2014	0
CLENT_000105-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	215405;215480;215662;216311	215432;215602;216268;216392	+;+;+;+	840	7160
CLENT_000106-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	216444;216786;216939;217212;217408;218192;218454;218721;219130;219525;220179;220380;220622;220903;221109;221309	216740;216911;217166;217352;218139;218410;218674;219075;219475;220124;220330;220571;220857;221044;221256;221385	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4212	2617
CLENT_000107-T1	scaffold_1	221474	222802	+	1329	4043
CLENT_000108-T1	scaffold_1	222924	223787	-	864	1690
CLENT_000109-T1	scaffold_1;scaffold_1	224314;225942	225903;227057	-;-	2706	1164
CLENT_000110-T1	scaffold_1	227222	229936	+	2715	1837
CLENT_000111-T1	scaffold_1;scaffold_1	230062;230278	230219;230452	-;-	333	7835
CLENT_000112-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	230702;230981;231120;231330;231447;231625;231796;232155;232310	230926;231073;231224;231400;231564;231750;232105;232264;232696	+;+;+;+;+;+;+;+;+	1545	2672
CLENT_000113-T1	scaffold_1;scaffold_1	232727;233129	233085;233645	-;-	876	3795
CLENT_000114-T1	scaffold_1;scaffold_1	233717;234645	234600;235909	-;-	2149	12370
CLENT_000115-T1	scaffold_1	236412	237788	-	1377	8267
CLENT_000116-T1	scaffold_1	237851	240473	+	2623	555
CLENT_000117-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	241274;241409;241572;241839;242176	241369;241529;241801;242120;242403	+;+;+;+;+	957	18
CLENT_000118-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	244066;244260;244558;244734;244869	244210;244516;244689;244823;245117	+;+;+;+;+	873	877
CLENT_000119-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	245288;245452;245595;245876	245403;245554;245828;246226	-;-;-;-	804	2286
CLENT_000120-T1	scaffold_1;scaffold_1;scaffold_1	246348;246701;246896	246657;246849;246985	-;-;-	549	314
CLENT_000121-T1	scaffold_1	246997	250175	+	3179	2039
CLENT_000122-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	250928;251210;251369;251598;251780;252062;252364;252575;252722;252900	251167;251323;251554;251738;252016;252317;252524;252676;252859;253373	+;+;+;+;+;+;+;+;+;+	2049	167
CLENT_000123-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	253806;253955;254066;254205;254511;254786;254961;255262;255509	253908;254018;254159;254450;254742;254909;255210;255456;255745	+;+;+;+;+;+;+;+;+	1545	10053
CLENT_000124-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	256040;256338;256769;257000;257182;257395;257559;257682	256294;256724;256955;257136;257346;257515;257638;257804	-;-;-;-;-;-;-;-	1455	466
CLENT_000125-T1	scaffold_1	257833	260108	+	2276	0
CLENT_000126-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1	257844;260481;260741;261169	260433;260701;261125;261463	-;-;-;-	3491	0
CLENT_000126-T2	scaffold_1;scaffold_1;scaffold_1	260109;260741;261169	260701;261125;261463	-;-;-	1273	0
CLENT_000127-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	261590;261775;261949;262048;262286;262544;262657;262836;263109;263315	261730;261895;261998;262234;262500;262609;262788;263052;263265;264092	+;+;+;+;+;+;+;+;+;+	2064	1518
CLENT_000128-T1	scaffold_1;scaffold_1;scaffold_1	264233;264378;264469	264327;264425;264532	+;+;+	207	995
CLENT_000129-T1	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	264658;265507;265692;265886;266498;267093;267235	265461;265642;265838;266423;267042;267217;267238	-;-;-;-;-;-;-	2299	1248
